date,name,open,close,high,low,total_turnover,volume,limit_up,limit_down
2015/1/5,浦发银行,10.1737,10.2954,10.4107,9.9687,8182820911,734403254,11.0578,9.0461
2015/1/6,浦发银行,10.2506,10.3339,10.6862,10.1353,8311084820,731708885,11.3269,9.264
2015/1/7,浦发银行,10.1865,10.1288,10.3595,9.9495,6114241100,551575053,11.3653,9.3024
2015/1/8,浦发银行,10.1673,9.7701,10.1737,9.738,5101310595,472796856,11.1411,9.1166
2015/1/9,浦发银行,9.738,9.8854,10.4107,9.6804,7692348549,703559910,10.7503,8.7963
2015/1/12,浦发银行,9.9302,9.7509,10.0648,9.5779,5625726993,525935795,10.872,8.8988
2015/1/13,浦发银行,9.6932,9.7252,9.8726,9.674,2712026682,255119087,10.7247,8.7771
2015/1/14,浦发银行,9.8085,9.9238,10.116,9.8085,4812472304,441896963,10.699,8.7514
2015/1/15,浦发银行,9.9238,10.3275,10.3467,9.8598,5216166778,471652394,10.9169,8.9308
2015/1/16,浦发银行,10.4043,10.5517,10.7311,10.3531,7938757902,686751618,11.3589,9.296
2015/1/19,浦发银行,9.8534,9.4946,10.0776,9.4946,9496942743,891634858,11.6088,9.4946
2015/1/20,浦发银行,9.533,9.6099,9.7188,9.3408,7142638836,685278510,10.4428,8.5464
2015/1/21,浦发银行,9.674,10.084,10.1673,9.4882,7489943294,697182728,10.5709,8.6489
2015/1/22,浦发银行,10.0776,10.0135,10.0968,9.8341,4592022934,421475713,11.0898,9.0782
2015/1/23,浦发银行,10.084,10.0135,10.2762,9.9559,5044685774,457661479,11.013,9.0141
2015/1/26,浦发银行,9.9687,9.8854,9.9879,9.6932,4122351608,384050698,11.013,9.0141
2015/1/27,浦发银行,9.8918,9.6163,9.8918,9.4497,5286301699,503237034,10.872,8.8988
2015/1/28,浦发银行,9.4946,9.4882,9.6804,9.3921,3592645043,346350367,10.5773,8.6553
2015/1/29,浦发银行,9.3408,9.2383,9.4049,9.1743,3864614152,381764359,10.4364,8.54
2015/1/30,浦发银行,9.3408,9.2704,9.4113,9.1999,3021747775,297247418,10.1609,8.3158
2015/2/2,浦发银行,9.0077,8.9949,9.1358,8.9628,2989272548,302613278,10.1993,8.3414
2015/2/3,浦发银行,9.1038,9.2575,9.264,8.9821,2792706733,280656904,9.8918,8.098
2015/2/4,浦发银行,9.2896,9.0846,9.3472,9.0461,2421384723,240091593,10.1865,8.3286
2015/2/5,浦发银行,9.4497,9.0846,9.4818,9.0782,5742890408,563895750,9.9943,8.1748
2015/2/6,浦发银行,9.0269,9.0269,9.1743,8.9372,2637143942,266762956,9.9943,8.1748
2015/2/9,浦发银行,9.0077,9.0718,9.1422,8.8732,3155932084,321157281,9.9302,8.1236
2015/2/10,浦发银行,9.0654,9.2447,9.2768,9.0205,2629916390,262681724,9.9815,8.162
2015/2/11,浦发银行,9.2447,9.2383,9.3152,9.1679,1789572963,177501749,10.1673,8.3222
2015/2/12,浦发银行,9.2383,9.1935,9.2447,9.0397,2121808297,213004437,10.1609,8.3158
2015/2/13,浦发银行,9.2896,9.2447,9.3985,9.1935,3023274166,297964538,10.116,8.2773
2015/2/16,浦发银行,9.2447,9.2255,9.264,9.1358,1995677496,199084634,10.1673,8.3222
2015/2/17,浦发银行,9.2383,9.2704,9.3408,9.2319,1747213085,172551326,10.1481,8.303
2015/2/25,浦发银行,9.2768,9.1486,9.2896,9.0846,2025174378,201533594,10.1993,8.3414
2015/2/26,浦发银行,9.1294,9.3665,9.4049,9.0397,3104052166,307469989,10.0648,8.2325
2015/2/27,浦发银行,9.3536,9.3088,9.4818,9.2768,2861206457,279717824,10.3018,8.4311
2015/3/2,浦发银行,9.3408,9.2768,9.3408,9.1999,3159377729,312831485,10.2378,8.3798
2015/3/3,浦发银行,9.2511,8.9693,9.2511,8.9564,3766071237,380912553,10.2057,8.3478
2015/3/4,浦发银行,9.0013,8.9116,9.0141,8.8732,2183814569,223932273,9.8662,8.0723
2015/3/5,浦发银行,8.8667,8.7002,8.8667,8.6553,3090569665,323901549,9.8021,8.0211
2015/3/6,浦发银行,8.7002,8.7322,8.8283,8.6745,1750570352,183092005,9.5715,7.8289
2015/3/9,浦发银行,8.8475,9.296,9.4177,8.7194,6170955159,621766111,9.6035,7.8609
2015/3/10,浦发银行,9.1743,9.0333,9.2063,9.0141,3623305559,364428013,10.2249,8.367
2015/3/11,浦发银行,9.0782,9.1294,9.328,9.0782,3087509382,307549702,9.9366,8.13
2015/3/12,浦发银行,9.3857,9.6868,9.9687,9.3408,9512030471,904878084,10.0456,8.2197
2015/3/13,浦发银行,9.7316,9.7957,10.1224,9.6612,6789040866,629455082,10.6542,8.7194
2015/3/16,浦发银行,9.9687,9.911,10.0007,9.738,4867224356,452046834,10.7759,8.8155
2015/3/17,浦发银行,9.9943,9.9559,10.0456,9.8406,4797833475,442839032,10.904,8.918
2015/3/18,浦发银行,9.9751,10.1737,10.1737,9.8854,5558613435,507156847,10.9489,8.9628
2015/3/19,浦发银行,10.1737,10.0199,10.1801,9.9815,4978776033,452982404,11.1923,9.155
2015/3/20,浦发银行,10.0071,10.0904,10.3082,9.847,7180731346,652839647,11.0194,9.0205
2015/3/23,浦发银行,10.1353,10.1929,10.2762,10.1032,5692415845,511357618,11.1027,9.0846
2015/3/24,浦发银行,10.1801,10.052,10.2506,9.9943,5114146783,464260285,11.2116,9.1743
2015/3/25,浦发银行,9.9943,9.7637,10.0712,9.706,5108990851,474374375,11.0578,9.0461
2015/3/26,浦发银行,9.706,9.8406,9.9815,9.6355,4326755744,403747220,10.7375,8.7899
2015/3/27,浦发银行,9.8149,9.8406,9.9623,9.7188,3350088365,311990219,10.8272,8.8539
2015/3/30,浦发银行,9.9623,10.2634,10.3787,9.8918,7735007517,697043004,10.8272,8.8539
2015/3/31,浦发银行,10.5581,10.116,10.6222,10.084,7990395333,706490433,11.2884,9.2383
2015/4/1,浦发银行,10.116,10.2185,10.3403,10.0904,4868332118,437406088,11.1283,9.1038
2015/4/2,浦发银行,10.4428,10.3659,10.494,10.1673,6611462332,586425342,11.2436,9.1999
2015/4/3,浦发银行,10.2506,10.3787,10.4364,10.2057,5171219071,458116955,11.4038,9.328
2015/4/7,浦发银行,10.5709,10.7054,10.8079,10.5389,8372655104,718232090,11.4166,9.3408
2015/4/8,浦发银行,10.7183,10.904,10.9169,10.5389,8633478020,736187416,11.7753,9.6355
2015/4/9,浦发银行,10.9233,10.8079,11.1988,10.7631,8497436086,711189705,11.9932,9.8149
2015/4/10,浦发银行,10.8015,11.2308,11.2564,10.7375,7772119507,645707126,11.8907,9.7252
2015/4/13,浦发银行,11.5255,11.5511,11.8394,11.2884,10470524484,831411431,12.3519,10.1096
2015/4/14,浦发银行,11.5511,11.4614,11.5575,11.25,6640484668,533156997,12.7043,10.3979
2015/4/15,浦发银行,11.4038,11.5063,11.8202,11.3461,8170773646,642990784,12.6082,10.3146
2015/4/16,浦发银行,11.5127,11.9483,11.9611,11.4358,7577393009,594857939,12.6595,10.3531
2015/4/17,浦发银行,12.1405,11.9163,12.2046,11.833,9167362860,700927829,13.1464,10.7567
2015/4/20,浦发银行,11.9932,11.4678,11.9932,11.2756,10446728565,818583207,13.1079,10.7247
2015/4/21,浦发银行,11.3717,11.6344,11.6536,11.3717,6615540644,526518394,12.6146,10.321
2015/4/22,浦发银行,11.7241,11.8522,11.8843,11.5831,7712130682,601696442,12.8004,10.4684
2015/4/23,浦发银行,11.8522,11.6728,11.9419,11.6024,6675541987,519938892,13.0374,10.667
2015/4/24,浦发银行,11.4038,11.3269,11.5511,11.1859,7509013285,604785766,12.8388,10.5068
2015/4/27,浦发银行,11.3525,11.6408,11.6921,11.3525,6942247859,549894219,12.4609,10.1929
2015/4/28,浦发银行,11.6857,11.7241,12.1726,11.5319,11100683779,858077206,12.8068,10.4748
2015/4/29,浦发银行,11.7049,11.8714,11.9547,11.5703,6591914895,512503035,12.8965,10.5517
2015/4/30,浦发银行,11.7113,11.5767,11.8266,11.5639,7523663257,590247546,13.0567,10.6862
2015/5/4,浦发银行,11.5319,11.4102,11.5319,11.2756,4597698886,369032328,12.7363,10.4171
2015/5/5,浦发银行,11.3589,10.9425,11.3717,10.7951,6483575960,536802605,12.5505,10.2698
2015/5/6,浦发银行,10.9425,10.9297,11.218,10.872,5225100162,434159264,12.038,9.847
2015/5/7,浦发银行,10.9105,10.9361,11.0706,10.8784,3674226153,306578705,12.0252,9.8341
2015/5/8,浦发银行,11.013,10.9617,11.0834,10.7759,3151167765,263920800,12.0316,9.8406
2015/5/11,浦发银行,10.8784,11.0642,11.0898,10.7567,4711900631,396329401,12.0572,9.8662
2015/5/12,浦发银行,11.0514,11.045,11.1475,10.9169,3768388795,313422168,12.1726,9.9559
2015/5/13,浦发银行,11.1027,10.9361,11.1411,10.8272,4198950106,350699632,12.1469,9.9431
2015/5/14,浦发银行,10.9553,10.8848,11.0514,10.8528,3283133222,275077587,12.0316,9.8406
2015/5/15,浦发银行,10.8336,10.7503,10.9361,10.6286,3526291462,299724092,11.974,9.7957
2015/5/18,浦发银行,10.6478,10.494,10.7375,10.4684,3106379587,268203942,11.8266,9.674
2015/5/19,浦发银行,10.4876,10.9169,10.9489,10.4748,4080429264,346419318,11.5447,9.4433
2015/5/20,浦发银行,10.9169,10.9873,11.2052,10.872,4567803884,379916275,12.006,9.8277
2015/5/21,浦发银行,11.0514,11.0962,11.1475,10.9553,2873100257,237956981,12.0893,9.8854
2015/5/22,浦发银行,11.1859,11.3781,11.3974,11.1091,4379120076,354765186,12.2046,9.9879
