date,name,circulation_a,management_circulation,non_circulation_a,total_a,total
2015/1/5,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/6,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/7,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/8,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/9,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/12,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/13,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/14,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/15,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/16,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/19,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/20,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/21,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/22,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/23,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/26,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/27,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/28,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/29,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/1/30,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/2/2,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/2/3,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/2/4,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/2/5,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/2/6,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/2/9,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/2/10,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/2/11,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/2/12,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/2/13,浦发银行,14922777132,,3730694283,18653471415,18653471415
