date,name,today,week,month,three_month,six_month,year,current_year,total
2015/1/5,浦发银行,3.4415,3.1854,3.5419,2.4735,1.6225,1.1933,3.4415,0.9606
2015/1/6,浦发银行,3.4289,3.3374,3.5362,2.4886,1.6371,1.2042,3.4352,0.9613
2015/1/7,浦发银行,2.5848,3.1517,3.4909,2.4901,1.6556,1.2128,3.1517,0.9618
2015/1/8,浦发银行,2.2156,2.9177,3.3718,2.5098,1.6706,1.2198,2.9177,0.9621
2015/1/9,浦发银行,3.297,2.9935,3.2514,2.5476,1.6931,1.2303,2.9935,0.9628
2015/1/12,浦发银行,2.4646,2.7982,3.239,2.5722,1.7214,1.2379,2.9054,0.9632
2015/1/13,浦发银行,1.1955,2.3515,3.1368,2.5794,1.7172,1.241,2.6611,0.9632
2015/1/14,浦发银行,2.0708,2.2487,3.0861,2.6029,1.7311,1.2473,2.5873,0.9636
2015/1/15,浦发银行,2.2102,2.2476,3.0844,2.6234,1.7459,1.2543,2.5454,0.9639
2015/1/16,浦发银行,3.2182,2.2319,3.0977,2.6427,1.7687,1.2657,2.6127,0.9645
2015/1/19,浦发银行,4.1783,2.5746,3.0069,2.6911,1.8114,1.281,2.755,0.9654
2015/1/20,浦发银行,3.2113,2.9778,3.0171,2.7293,1.8227,1.2931,2.7931,0.9661
2015/1/21,浦发银行,3.2671,3.217,3.029,2.7693,1.8467,1.3052,2.8295,0.9667
2015/1/22,浦发银行,1.9751,3.17,2.9049,2.7906,1.8572,1.3108,2.7685,0.967
2015/1/23,浦发银行,2.1447,2.9553,2.8662,2.8117,1.8693,1.3179,2.7269,0.9673
2015/1/26,浦发银行,1.7997,2.4796,2.7899,2.8285,1.879,1.3234,2.669,0.9675
2015/1/27,浦发银行,2.3582,2.309,2.7683,2.8508,1.8829,1.3311,2.6507,0.9679
2015/1/28,浦发银行,1.623,1.9801,2.7138,2.8656,1.8789,1.3362,2.5936,0.9681
2015/1/29,浦发银行,1.789,1.9429,2.5994,2.8767,1.8824,1.3416,2.5512,0.9683
2015/1/30,浦发银行,1.3929,1.7926,2.5242,2.8799,1.8837,1.3459,2.4933,0.9685
2015/2/2,浦发银行,1.4181,1.7163,2.4421,2.8507,1.8936,1.3462,2.4421,0.9686
2015/2/3,浦发银行,1.3152,1.5077,2.3909,2.8452,1.8889,1.3461,2.3909,0.9687
2015/2/4,浦发银行,1.1251,1.4081,2.3359,2.8457,1.8889,1.3452,2.3359,0.9687
2015/2/5,浦发银行,2.6425,1.5788,2.3011,2.8705,1.9039,1.3505,2.3486,0.9692
2015/2/6,浦发银行,1.2501,1.5502,2.2064,2.8794,1.9068,1.35,2.3047,0.9693
2015/2/9,浦发银行,1.505,1.5676,2.1026,2.8603,1.9202,1.3547,2.2739,0.9694
2015/2/10,浦发银行,1.231,1.5507,2.063,2.8283,1.9146,1.3572,2.2353,0.9695
2015/2/11,浦发银行,0.8318,1.4921,2.0095,2.7728,1.916,1.3548,2.1852,0.9694
2015/2/12,浦发银行,0.9982,1.1632,1.9457,2.76,1.9196,1.356,2.1443,0.9695
2015/2/13,浦发银行,1.3963,1.1924,1.9544,2.743,1.9256,1.3563,2.1193,0.9696
2015/2/16,浦发银行,0.9329,1.078,1.8279,2.7368,1.9388,1.3579,2.081,0.9696
2015/2/17,浦发银行,0.8086,0.9936,1.7815,2.7269,1.9296,1.3582,2.0413,0.9695
2015/2/25,浦发银行,0.9444,0.9444,1.409,2.7996,1.9876,1.3691,2.008,0.9695
2015/2/26,浦发银行,1.4408,1.1926,1.3891,2.7726,1.9949,1.3729,1.9914,0.9696
2015/2/27,浦发银行,1.3108,1.232,1.3309,2.7449,2.0028,1.3752,1.9719,0.9697
2015/3/2,浦发银行,1.466,1.2905,1.2799,2.6284,2.0487,1.3791,1.9579,0.9699
2015/3/3,浦发银行,1.785,1.3894,1.3112,2.5738,2.0567,1.3842,1.9532,0.9701
2015/3/4,浦发银行,1.0494,1.4104,1.3062,2.5076,2.06,1.3854,1.9294,0.9701
2015/3/5,浦发银行,1.5178,1.4258,1.2312,2.4332,2.0658,1.3898,1.9189,0.9703
2015/3/6,浦发银行,0.858,1.3352,1.2051,2.406,2.0554,1.3904,1.8923,0.9702
2015/3/9,浦发银行,2.9137,1.6248,1.299,2.3144,2.0732,1.4001,1.9172,0.9708
2015/3/10,浦发银行,1.7078,1.6093,1.3308,2.2714,2.0814,1.4043,1.9123,0.971
2015/3/11,浦发银行,1.4412,1.6877,1.3714,2.2447,2.0869,1.4083,1.9013,0.9711
2015/3/12,浦发银行,4.2404,2.2322,1.5875,2.2826,2.1185,1.4227,1.9545,0.972
2015/3/13,浦发银行,2.9497,2.6505,1.6911,2.2941,2.1256,1.4294,1.9766,0.9726
2015/3/16,浦发银行,2.1184,2.4915,1.7701,2.2805,2.1434,1.4331,1.9797,0.9729
2015/3/17,浦发银行,2.0752,2.565,1.8546,2.2147,2.1545,1.4358,1.9817,0.9732
2015/3/18,浦发银行,2.3766,2.752,1.8872,2.1976,2.1622,1.4409,1.9899,0.9736
2015/3/19,浦发银行,2.1227,2.3285,1.9011,2.1836,2.164,1.447,1.9926,0.9739
2015/3/20,浦发银行,3.0593,2.3504,1.9654,2.1987,2.1716,1.455,2.014,0.9745
2015/3/23,浦发银行,2.3963,2.406,1.9881,2.147,2.1967,1.4489,2.0215,0.9748
2015/3/24,浦发银行,2.1756,2.4261,1.9975,2.1361,2.2065,1.4427,2.0244,0.9752
2015/3/25,浦发银行,2.223,2.3954,2.0614,2.1215,2.2177,1.4456,2.0282,0.9755
2015/3/26,浦发银行,1.892,2.3492,2.0839,2.0998,2.2292,1.4482,2.0257,0.9758
2015/3/27,浦发银行,1.462,2.0298,2.0915,2.0888,2.2227,1.4457,2.0154,0.9759
2015/3/30,浦发银行,3.2664,2.2038,2.1474,2.0571,2.2566,1.4526,2.0377,0.9765
2015/3/31,浦发银行,3.3107,2.4308,2.2003,2.0601,2.2656,1.4629,2.0601,0.9772
2015/4/1,浦发银行,2.0497,2.3962,2.1938,2.0599,2.2638,1.468,2.0599,0.9775
2015/4/2,浦发银行,2.7481,2.5674,2.2495,2.0716,2.2678,1.4732,2.0716,0.978
2015/4/3,浦发银行,2.1468,2.7043,2.2653,2.0728,2.2668,1.4764,2.0728,0.9783
